file_name,gt_bboxes,type
rain_00001,[[484 323 101 141]],rain
rain_00003,[[229 339  65  71]],rain
rain_00004,[[438 353  21  20]],rain
rain_00005,"[[ 97  62 115 128]
 [216  56  88 106]
 [535 163 107  67]
 [415 470  82  59]]",rain
rain_00006,[[474 190  74 102]],rain
rain_00007,[[734 490  87  73]],rain
rain_00008,[[527 166  35  38]],rain
rain_00009,"[[653 387  55  90]
 [530 352  71  60]]",rain
rain_00010,[[521 169 115 118]],rain
rain_00011,[[503 241 137 176]],rain
rain_00102,"[[377 166  45  66]
 [619 118  28  34]
 [777 105  20  27]
 [919 123  21  31]
 [675 105  20  27]
 [471  46  14  17]
 [675  61  13  22]
 [571  87  15  18]
 [534 107  28  39]
 [338 101  17  23]
 [204  79  18  23]
 [847 100  14  18]]",rain
rain_00103,"[[294 102  78 176]
 [363  87  81 187]]",rain
rain_00104,"[[137 392 105 109]
 [425 559  87  88]
 [687 386  95 103]]",rain
rain_00105,"[[405 337  52  57]
 [581 236  50  63]
 [909 268  30  35]]",rain
rain_00106,"[[898 144  78 119]
 [216 145 103  76]
 [265 412 112  83]]",rain
rain_00107,"[[249 337  15  25]
 [552 314  15  24]]",rain
rain_00108,[[624 225  41  54]],rain
rain_00109,"[[503 270  31  47]
 [484 285  28  43]]",rain
rain_00110,[[444 191  70  90]],rain
rain_00111,[[600 232  69  80]],rain
rain_00112,"[[252 174 149 169]
 [720 248  52  30]
 [914 233  74  83]]",rain
rain_00113,"[[456 236  88 122]
 [ 67 231  50  74]]",rain
rain_00114,[[360 604  24  32]],rain
rain_00115,[[519 150 265 367]],rain
rain_00116,[[549 234  25  54]],rain
rain_00117,"[[111  50  44  57]
 [105 190  52  52]
 [605 121  64  80]
 [732 140  55  63]]",rain
rain_00118,[[357 292  31  43]],rain
rain_00119,"[[266 318  23  22]
 [484 263  44  47]]",rain
rain_00120,"[[362 153  44  55]
 [502 145  39  50]
 [577 141  43  47]]",rain
rain_00903,"[[379 344  36  35]
 [645 316  34  38]
 [815 293  31  40]]",rain
rain_00904,[[626 580  73  73]],rain
rain_00905,"[[809 237  22  34]
 [581 237  13  17]
 [480 244  14  15]
 [467 259  12  13]
 [406 237  13  14]
 [386 241  15  18]
 [356 233  14  17]
 [318 237  14  22]
 [187 251  13  15]]",rain
rain_00906,"[[161 411  10  15]
 [235 418  10  14]
 [383 419  15  17]
 [465 401  15  18]
 [448 423  15  17]
 [474 565  20  22]]",rain
rain_00907,"[[104 204  24  40]
 [ 31 212  15  21]
 [457 211  10  11]
 [523 206  10  13]
 [498 207   7   9]
 [548 201  11  12]]",rain
rain_00908,"[[290 175  34  42]
 [702 267   9  12]
 [680 268  10  16]]",rain
rain_00909,[[623 117  61  58]],rain
rain_00910,[[408 254  88 103]],rain
rain_00911,"[[392  61  59  66]
 [610 105  50  58]
 [947  91  42  46]
 [922 101  18  38]
 [822  77  54  87]
 [282  94  52  67]
 [335 112  39  48]]",rain
rain_00912,"[[344 272  30  49]
 [387 270  29  46]]",rain
rain_00913,"[[430 246  27  29]
 [388 245  27  31]]",rain
rain_00914,"[[808 194  22  35]
 [247 556  24  39]
 [910 225  26  35]
 [988 107  22  28]
 [727 314  24  29]]",rain
rain_00915,"[[335 237  66  81]
 [379 203  61  69]]",rain
rain_00916,"[[473 200  12  15]
 [662 170  16  16]]",rain
rain_00917,"[[388 191  83 140]
 [809  44  72  71]
 [325  37  81  72]
 [810 367  42  98]]",rain
rain_00918,[[540 245  69  77]],rain
rain_00919,[[534 497  66  85]],rain
rain_00920,[[404  62 120 166]],rain
rain_00921,"[[148 218  46  67]
 [332 195  45  72]
 [474 262  56  76]
 [633 301  59  69]
 [742 249  32  47]
 [880 239  37  47]]",rain
rain_00922,"[[508 254  27  36]
 [430 250  27  31]
 [655 257  14  22]
 [732 254  24  32]]",rain
rain_00923,[[218 336 102  60]],rain
rain_00924,[[738 223  34  47]],rain
rain_00925,"[[396 217 243 287]
 [ 28 273 225 248]
 [697  70 218 274]]",rain
rain_00926,[[765 276  29  36]],rain
rain_00927,[[ 15 234  49  57]],rain
rain_00928,"[[436   1  56  65]
 [374  60  73  90]
 [ 97  32 107  96]
 [264 167 105 143]
 [739 215  99 113]
 [877 253  70  73]]",rain
rain_00929,"[[310 397  28  41]
 [685 391  35  42]
 [419 402  17  22]]",rain
rain_00930,"[[506 341  25  29]
 [283 294   8   9]
 [862 303  12  10]]",rain
rain_00931,"[[355 300  36  54]
 [286 243  34  56]
 [324 181  48  62]
 [152 251  37  62]]",rain
rain_00932,"[[346  85  50  64]
 [691 254  42  46]
 [207 307  42  54]]",rain
rain_00933,"[[478 227  81 100]
 [194  43  42  55]
 [  5  52  41  53]]",rain
